,gene_id,database,kegg_id
709,Synpcc7942_0255,KEGG_pathway,-
710,Synpcc7942_0256,KEGG_pathway,-
711,Synpcc7942_0257,KEGG_pathway,-
712,Synpcc7942_0258,KEGG_pathway,-
714,Synpcc7942_0260,KEGG_pathway,map01100
715,Synpcc7942_0261,KEGG_pathway,-
722,Synpcc7942_0262,KEGG_pathway,map00300
723,Synpcc7942_0262,KEGG_pathway,map01100
724,Synpcc7942_0262,KEGG_pathway,map01110
725,Synpcc7942_0262,KEGG_pathway,map01120
726,Synpcc7942_0262,KEGG_pathway,map01130
727,Synpcc7942_0262,KEGG_pathway,map01230
728,Synpcc7942_0263,KEGG_pathway,-
731,Synpcc7942_0264,KEGG_pathway,map00900
732,Synpcc7942_0264,KEGG_pathway,map01110
733,Synpcc7942_0266,KEGG_pathway,-
734,Synpcc7942_0267,KEGG_pathway,-
735,Synpcc7942_0268,KEGG_pathway,-
736,Synpcc7942_0269,KEGG_pathway,-
737,Synpcc7942_0270,KEGG_pathway,-
742,Synpcc7942_0271,KEGG_pathway,map00860
743,Synpcc7942_0271,KEGG_pathway,map01100
744,Synpcc7942_0271,KEGG_pathway,map01110
745,Synpcc7942_0271,KEGG_pathway,map01120
750,Synpcc7942_0272,KEGG_pathway,map00860
751,Synpcc7942_0272,KEGG_pathway,map01100
752,Synpcc7942_0272,KEGG_pathway,map01110
753,Synpcc7942_0272,KEGG_pathway,map01120
756,Synpcc7942_0273,KEGG_pathway,map00770
757,Synpcc7942_0273,KEGG_pathway,map01100
758,Synpcc7942_0274,KEGG_pathway,-
759,Synpcc7942_0275,KEGG_pathway,-
765,Synpcc7942_0276,KEGG_pathway,map00630
766,Synpcc7942_0276,KEGG_pathway,map01100
767,Synpcc7942_0276,KEGG_pathway,map01110
768,Synpcc7942_0276,KEGG_pathway,map01120
769,Synpcc7942_0276,KEGG_pathway,map01130
774,Synpcc7942_0277,KEGG_pathway,map03030
775,Synpcc7942_0277,KEGG_pathway,map03410
776,Synpcc7942_0277,KEGG_pathway,map03420
777,Synpcc7942_0277,KEGG_pathway,map03430
780,Synpcc7942_0278,KEGG_pathway,map00190
781,Synpcc7942_0278,KEGG_pathway,map01100
784,Synpcc7942_0279,KEGG_pathway,map00190
785,Synpcc7942_0279,KEGG_pathway,map01100
