"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Synpcc7942_0227",476.629157623241,1.09427109925595,0.396567545318375,2.75935616056892,0.00579153767122976,0.0241344233893278
"Synpcc7942_0228",458.100118788678,-1.32665603099152,0.511465980882922,-2.59383044147213,0.00949132827337824,0.0335276457021189
"Synpcc7942_0240",2627.40044334444,3.61105383063203,1.08314765681623,3.33385186027753,0.00085652262148197,0.00602729770842325
"Synpcc7942_0252",1466.60108426671,-4.87894666417231,1.27376671708214,-3.83032983884889,0.000127971603997785,0.00142208444942538
"Synpcc7942_0253",2889.48083725374,-5.57483390354337,0.729397171436277,-7.64307036256502,2.12102003444823e-14,8.08108633124777e-12
"Synpcc7942_0262",1980.87420500847,1.5367972596638,0.516137659602829,2.97749492034039,0.00290614460233904,0.0145416278694901
"Synpcc7942_0266",350.764076204971,1.77188108096006,0.245180231821795,7.22685131584313,4.94320781536284e-13,1.09862793696439e-10
"Synpcc7942_0267",700.555912027656,-1.61640229933477,0.503206925204666,-3.21220201545784,0.00131721716263925,0.00832468761317272
"Synpcc7942_0282",2554.13042933512,2.1152502900155,0.828014310315146,2.55460595748693,0.0106308068487049,0.0363026400326453
"Synpcc7942_0294",4878.18704435645,3.85233235781797,1.21689925325883,3.16569539138224,0.00154712715051196,0.00927233283239413
"Synpcc7942_0295",1394.80117477228,1.93733986717308,0.728460796588784,2.6594977742731,0.00782572470818202,0.0297734775987467
"Synpcc7942_0297",12074.1398908733,2.66207518493545,0.850204590990876,3.13109951786183,0.00174153134430665,0.0100316719120213
"Synpcc7942_0300",1081.03595862325,1.71473244276822,0.669773772827815,2.56016660002756,0.0104621995320421,0.0359107929883608
"Synpcc7942_0308",1124.77906616437,1.12543751768807,0.400111413770656,2.81281032970774,0.00491106096465641,0.0210575556153355
"Synpcc7942_0309",2102.54403460494,1.81672736772666,0.532921409441444,3.40899677802544,0.000652022497826694,0.00483040000473276
"Synpcc7942_0313",928.902236128241,1.89882982159969,0.556878247447902,3.40977553047147,0.000650163671739639,0.00483004599590422
