Sample	Sense	Antisense	Undetermined
SRX4105563	6.25	48.9	44.85
SRX4105564	6.8500000000000005	51.03	42.120000000000005
SRX4105565	4.9	47.39	47.71
SRX4105566	7.140000000000001	54.97	37.89
SRX4105567	6.54	55.14	38.32
SRX4105568	7.779999999999999	49.44	42.78
SRX5055969	17.53	12.35	70.12
SRX5055970	18.38	10.6	71.02000000000001
SRX5055971	18.54	9.9	71.56
SRX5055972	18.54	11.81	69.65
SRX689242	69.78	10.07	20.150000000000002
SRX7119038	17.53	12.35	70.12
SRX7119039	18.38	10.6	71.02000000000001
SRX7119040	22.33	8.77	68.91000000000001
SRX7119041	18.77	12.58	68.65
SRX8650808	3.2	71.69	25.11
UV_control_1	16.830000000000002	19.5	63.67
UV_control_2	14.46	32.93	52.6
UV_control_3	9.22	43.580000000000005	47.199999999999996
UV_exposure_2	12.33	34.160000000000004	53.5
UV_exposure_3	9.55	49.32	41.13
dark_4h_0110_KO_1	18.61	30.5	50.9
dark_4h_0110_KO_2	17.48	29.82	52.7
dark_4h_0616_KO_1	17.52	19.689999999999998	62.79
dark_4h_0616_KO_2	19.16	28.76	52.07000000000001
dark_4h_1684_KO_1	14.280000000000001	32.519999999999996	53.2
dark_4h_1684_KO_2	14.99	31.009999999999998	54.0
km_LL_1	13.83	38.29	47.88
km_LL_2	15.65	30.91	53.44
km_dark_4h_1	17.560000000000002	26.57	55.879999999999995
km_dark_4h_2	20.0	30.59	49.41
light_0110_KO_1	14.540000000000001	36.02	49.44
light_0110_KO_2	17.36	29.78	52.849999999999994
light_0616_KO_1	16.580000000000002	22.56	60.86
light_0616_KO_2	17.09	26.83	56.08
light_1684_KO_1	15.709999999999999	29.98	54.31
light_1684_KO_2	12.68	29.78	57.54
post_uv_2hrs_1	5.89	51.559999999999995	42.55
post_uv_2hrs_2	18.16	18.2	63.629999999999995
post_uv_2hrs_3	16.28	18.22	65.5
post_uv_control_1	9.76	42.78	47.46
post_uv_control_2	17.34	18.56	64.1
wt_LL_1	12.9	34.81	52.290000000000006
wt_LL_2	13.18	43.8	43.02
wt_dark_4h_1	16.49	29.4	54.11
wt_dark_4h_2	15.76	33.7	50.54
