Module	Section	Sample Name	Source
Cutadapt	all_sections	post_uv_control_2	/home/annie/Documents/modulome-nextflow/aws_results/trim_reports/post_uv_control_2_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	dark_4h_1684_KO_1	/home/annie/Documents/modulome-nextflow/aws_results/trim_reports/dark_4h_1684_KO_1_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	dark_4h_0616_KO_1	/home/annie/Documents/modulome-nextflow/aws_results/trim_reports/dark_4h_0616_KO_1_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRX15590300	/home/annie/Documents/modulome-nextflow/aws_results/trim_reports/SRX15590300_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRX15590313	/home/annie/Documents/modulome-nextflow/aws_results/trim_reports/SRX15590313_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRX15590310	/home/annie/Documents/modulome-nextflow/aws_results/trim_reports/SRX15590310_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRX15590316	/home/annie/Documents/modulome-nextflow/aws_results/trim_reports/SRX15590316_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	UV_control_2	/home/annie/Documents/modulome-nextflow/aws_results/trim_reports/UV_control_2_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRX15947809	/home/annie/Documents/modulome-nextflow/aws_results/trim_reports/SRX15947809_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRX15590302	/home/annie/Documents/modulome-nextflow/aws_results/trim_reports/SRX15590302_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRX15947814	/home/annie/Documents/modulome-nextflow/aws_results/trim_reports/SRX15947814_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	light_1684_KO_2	/home/annie/Documents/modulome-nextflow/aws_results/trim_reports/light_1684_KO_2_1.fastq.gz_trimming_report.txt
