Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed	pe_sense	pe_antisense
SRX15590314	7392133.0	3901846.0	22200.0	164224.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3044091.0	255226.0	4546.0	52.78376349559728	7392133.0	7227909.0	97.78	164224.0	2.22	SRX15590314_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7392133.0	0.0	20-100	53.0	21.38786239898952	96.0783505924474	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass		2.6	7589074	2550032	7589074	758907400	40292169	713590870	5.971285824858211					
SRX15590315	7767436.0	5026656.0	138931.0	162928.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2151143.0	282640.0	5138.0	64.71448235942981	7767436.0	7604508.0	97.9	162928.0	2.1	SRX15590315_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7767436.0	0.0	20-100	54.0	22.34672652487981	96.0400142337832	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass		2.6	7944482	2510227	7944482	794448200	41447324	749411299	5.668953746764107					
SRX15590316	6527666.0	4401988.0	14469.0	126000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1691516.0	288440.0	5253.0	67.4358645188035	6527666.0	6401666.0	98.07	126000.0	1.93	SRX15590316_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6527666.0	0.0	20-100	54.0	25.84023157031646	96.06317878396352	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass		2.6	6655283	2062569	6655283	665528300	32780242	629870102	5.357878545510387	0.0	0.0	1.0		
SRX15590317	7116554.0	3169496.0	58024.0	149683.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3532563.0	202738.0	4050.0	44.53694864115413	7116554.0	6966871.0	97.9	149683.0	2.1	SRX15590317_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7116554.0	0.0	20-100	52.0	19.8638775685152	96.2724357884448	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass		2.6	7283463	2550245	7283463	728346300	35637713	688324095	5.4949417605334165	0.0	0.0	1.0		
SRX15590318	6948799.0	2565358.0	53388.0	152723.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3999507.0	174403.0	3420.0	36.91800554311616	6948799.0	6796076.0	97.8	152723.0	2.2	SRX15590318_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6948799.0	0.0	20-100	51.0	17.621795841332773	96.39092338114833	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass		2.6	7090785	2577375	7090785	709078500	32460794	672936101	5.097094186327747	0.0	0.0	1.0		
SRX15590319	6930838.0	2862428.0	30460.0	137787.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3704060.0	192117.0	3986.0	41.29988321758494	6930838.0	6793051.0	98.01	137787.0	1.99	SRX15590319_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6930838.0	0.0	20-100	51.0	19.769824078601097	96.38104108045808	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass		2.6	7074859	2532236	7074859	707485900	32810944	671101122	5.142827298748993	0.0	0.0	1.0		
SRX15630037	3852396.0	1168497.0	242389.0	234464.0	0.0	0.0	0.0	0.0	122.0	0.0	0.0	0.0	0.0	2162012.0	43988.0	924.0	30.331694872489745	3852396.0	3617932.0	93.91	234464.0	6.09	SRX15630037_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3852396.0	0.0	20-150	53.0	12.708183061352226	148.92960770388092	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass		2.6	3858658	1163433	3858658	578798700	751050	575881252	0.5040522724048966			0.3783	0.0543	0.5674
SRX15630038	3987136.0	1300720.0	27325.0	287523.0	0.0	0.0	0.0	0.0	142.0	0.0	0.0	0.0	0.0	2322662.0	47281.0	1483.0	32.62291529559062	3987136.0	3699613.0	92.79	287523.0	7.21	SRX15630038_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3987136.0	0.0	20-150	53.0	12.78718465425999	149.00452154127674	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass		2.6	3992714	1198672	3992714	598907100	81300	596769477	0.3569206309292376			0.3342	0.0439	0.6219
SRX15630039	3815161.0	1707028.0	40156.0	204809.0	0.0	0.0	0.0	0.0	317.0	0.0	0.0	0.0	0.0	1797431.0	64542.0	878.0	44.74327557867152	3815161.0	3610352.0	94.63	204809.0	5.37	SRX15630039_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3815161.0	0.0	20-150	51.0	12.79985989596689	149.01248911906995	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass		2.6	3819826	1107575	3819826	572973900	520200	570475070	0.436115851001241			0.0964	0.0761	0.8274
SRX15630040	4347008.0	1709547.0	288840.0	302307.0	0.0	0.0	0.0	0.0	248.0	0.0	0.0	0.0	0.0	1974240.0	70955.0	871.0	39.326980764700686	4347008.0	4044701.0	93.05	302307.0	6.95	SRX15630040_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4347008.0	0.0	20-150	51.0	12.721281897122472	148.9492637234622	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass		2.6	4351767	1344973	4351767	652765050	179100	649801118	0.4540580106119345			0.1139	0.0971	0.789
SRX15630041	3861229.0	1289114.0	131013.0	252914.0	0.0	0.0	0.0	0.0	160.0	0.0	0.0	0.0	0.0	2134259.0	52442.0	1327.0	33.38610582278337	3861229.0	3608315.0	93.45	252914.0	6.55	SRX15630041_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3861229.0	0.0	20-150	53.0	15.065863983970242	148.85972471459218	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass		2.6	3866739	1167877	3866739	580010850	148650	577219099	0.48132737516893			0.3697	0.077	0.5533
SRX15630042	3905971.0	1424174.0	77652.0	349539.0	0.0	0.0	0.0	0.0	316.0	0.0	0.0	0.0	0.0	1981144.0	72365.0	781.0	36.46145862322071	3905971.0	3556432.0	91.05	349539.0	8.95	SRX15630042_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3905971.0	0.0	20-150	51.0	15.605169803318688	148.30834253505722	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass		2.6	3911455	1258423	3911455	586718250	469950	581467762	0.8948908611586567			0.1323	0.1529	0.7148
