Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality
SRX15947812	SRX15947812_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11668109.0	0.0	20-51	54.0	16.507249019020684	50.51077145405481	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	
SRX15947813	SRX15947813_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10177084.0	0.0	20-51	54.0	14.162801610381068	50.51468799903784	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	
SRX15947814	SRX15947814_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9492312.0	0.0	20-51	54.0	18.86914973215748	50.46979903315441	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	
SRX15947815	SRX15947815_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8780357.0	0.0	20-51	55.0	36.062839436505605	50.50783538755884	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass	
SRX15947816	SRX15947816_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9835808.0	0.0	20-51	55.0	32.68544993117181	50.49724232111892	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	
SRX17839586	SRX17839586_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14822263.0	0.0	20-150	54.0	14.25292147549753	145.67913367884512	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	
SRX17839587	SRX17839587_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18102561.0	0.0	20-150	53.0	18.686970928696596	146.22958574756356	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	
SRX17839588	SRX17839588_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13792468.0	0.0	20-150	53.0	14.359182949391927	145.1068982723034	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	
SRX17839589	SRX17839589_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18539831.0	0.0	20-150	52.0	10.553243687608257	146.4576602127603	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	
SRX17839590	SRX17839590_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21266612.0	0.0	20-150	52.0	9.061971046945516	145.81670992069635	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	
SRX17839591	SRX17839591_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19601147.0	0.0	20-150	52.0	11.0203798073282	146.25071481786244	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	
SRX18913104	SRX18913104_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9599661.0	0.0	20-150	53.0	12.574337489055374	136.93247792812684	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	warn
SRX18913105	SRX18913105_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11009204.0	0.0	20-150	53.0	12.78028238715915	137.12805094718928	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	warn
SRX18913106	SRX18913106_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8851453.0	0.0	20-150	54.0	11.906902940832104	134.65135995186327	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	warn
SRX18913107	SRX18913107_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9449641.0	0.0	20-150	54.0	19.409421274325183	137.88100828380675	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	pass
SRX18913108	SRX18913108_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10165768.0	0.0	20-150	55.0	17.35715733073465	137.9140393524621	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	warn
SRX18913109	SRX18913109_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11539604.0	0.0	20-150	54.0	16.927361544339902	139.132844939913	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	warn
SRX18913110	SRX18913110_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8603969.0	0.0	20-150	54.0	11.985398581870408	138.24121681516985	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	warn
SRX18913111	SRX18913111_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8894545.0	0.0	20-150	54.0	12.545896569283066	137.41150176878077	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	warn
SRX18913112	SRX18913112_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11081462.0	0.0	20-150	53.0	10.279329231896309	137.57385189788135	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	warn
SRX18913113	SRX18913113_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9632580.0	0.0	20-150	54.0	16.215260404297602	140.3268241737935	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	warn
SRX18913114	SRX18913114_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9718609.0	0.0	20-150	54.0	16.28924374434505	141.32076133528986	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	warn
SRX18913115	SRX18913115_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9784391.0	0.0	20-150	54.0	18.021646027191597	139.49297641519027	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	warn
SRX2356912	SRX2356912_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10296549.0	0.0	20-50	55.0	4.970643741504315	49.54894023230502	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	pass
SRX2356913	SRX2356913_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8723592.0	0.0	20-50	55.0	4.292737996316164	49.530528594184595	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	pass
SRX2356914	SRX2356914_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9920031.0	0.0	20-50	55.0	4.282287234886137	49.53872442535714	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	pass
SRX2356915	SRX2356915_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11636035.0	0.0	20-50	54.0	3.613631156980473	49.56440187744365	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	pass
SRX2356916	SRX2356916_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8490206.0	0.0	20-50	54.0	3.6720638940241317	49.53677837734444	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	pass
SRX2356917	SRX2356917_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10897421.0	0.0	20-50	54.0	3.3249975168888266	49.548919143345934	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	pass
SRX2356918	SRX2356918_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10417045.0	0.0	20-50	54.0	3.1159219346805953	49.52756938268002	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	pass
SRX2356919	SRX2356919_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18379529.0	0.0	20-50	54.0	2.645763155728278	49.56447969912613	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	pass
