Sample	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage
SRX3211356	6412926.0	6268784.0	97.75	144142.0	2.25
SRX3211357	8328750.0	8126359.0	97.57	202391.0	2.43
SRX3211358	7950948.0	7784769.0	97.91	166179.0	2.09
SRX3211359	9496680.0	9274791.0	97.66	221889.0	2.34
SRX3211360	8233057.0	8079629.0	98.14	153428.0	1.86
SRX3312459	11859800.0	10515561.0	88.67	1344239.0	11.33
SRX3312460	11515913.0	10397114.0	90.28	1118799.0	9.72
SRX3312461	13737010.0	12309637.0	89.61	1427373.0	10.39
SRX3312462	12947000.0	11602007.0	89.61	1344993.0	10.39
SRX3312463	13256903.0	11772360.0	88.8	1484543.0	11.2
SRX3312464	17134598.0	15466802.0	90.27	1667796.0	9.73
SRX3312465	11702495.0	10240338.0	87.51	1462157.0	12.49
SRX3312466	9332655.0	8146305.0	87.29	1186350.0	12.71
SRX3312467	12048478.0	10416378.0	86.45	1632100.0	13.55
SRX3312468	10758283.0	8687203.0	80.75	2071080.0	19.25
SRX3312469	12599814.0	10822561.0	85.89	1777253.0	14.11
SRX3312470	25794309.0	22831630.0	88.51	2962679.0	11.49
SRX3312471	17175605.0	14349845.0	83.55	2825760.0	16.45
SRX3312472	17463827.0	14989915.0	85.83	2473912.0	14.17
SRX3312473	14157948.0	11867129.0	83.82	2290819.0	16.18
SRX3312474	11591662.0	10229904.0	88.25	1361758.0	11.75
SRX3312475	13404912.0	10931555.0	81.55	2473357.0	18.45
SRX3312476	11343259.0	9369876.0	82.6	1973383.0	17.4
SRX3312477	5679245.0	4936034.0	86.91	743211.0	13.09
SRX3312478	7303850.0	6529106.0	89.39	774744.0	10.61
SRX3312479	8592259.0	7765131.0	90.37	827128.0	9.63
SRX3312480	8784247.0	7896618.0	89.9	887629.0	10.1
SRX3312481	9906601.0	8838949.0	89.22	1067652.0	10.78
SRX3312482	6954671.0	5758974.0	82.81	1195697.0	17.19
SRX3312483	9224609.0	8447493.0	91.58	777116.0	8.42
SRX3312484	9476855.0	8398938.0	88.63	1077917.0	11.37
SRX3312485	11145617.0	10134065.0	90.92	1011552.0	9.08
SRX3312486	10094641.0	8988100.0	89.04	1106541.0	10.96
SRX3312487	8371818.0	7521416.0	89.84	850402.0	10.16
SRX3312488	9908236.0	8819193.0	89.01	1089043.0	10.99
SRX3312489	7901487.0	6843939.0	86.62	1057548.0	13.38
SRX3312490	9275428.0	7305937.0	78.77	1969491.0	21.23
SRX3312491	3400431.0	2962638.0	87.13	437793.0	12.87
SRX3312492	22905513.0	20696693.0	90.36	2208820.0	9.64
SRX3312493	10483460.0	8984012.0	85.7	1499448.0	14.3
SRX3312494	6153832.0	5321106.0	86.47	832726.0	13.53
SRX359366	13659132.0	13441160.0	98.4	217972.0	1.6
SRX359367	12017338.0	11842067.0	98.54	175271.0	1.46
SRX359368	11933774.0	11703067.0	98.07	230707.0	1.93
SRX359369	14201301.0	13935529.0	98.13	265772.0	1.87
SRX359370	11455370.0	11281789.0	98.48	173581.0	1.52
SRX359371	12172509.0	11951417.0	98.18	221092.0	1.82
SRX359372	9585273.0	9519371.0	99.31	65902.0	0.69
SRX359373	11590531.0	11500400.0	99.22	90131.0	0.78
SRX359374	12655792.0	12539946.0	99.08	115846.0	0.92
SRX359375	11790971.0	11683809.0	99.09	107162.0	0.91
SRX359376	10504781.0	10420642.0	99.2	84139.0	0.8
SRX359377	11571256.0	11488414.0	99.28	82842.0	0.72
SRX359378	10313195.0	10236106.0	99.25	77089.0	0.75
SRX359379	9544087.0	9469327.0	99.22	74760.0	0.78
SRX359380	10392541.0	10302299.0	99.13	90242.0	0.87
SRX359381	9954919.0	9881510.0	99.26	73409.0	0.74
SRX359382	12249229.0	12145210.0	99.15	104019.0	0.85
SRX359383	12166072.0	12064774.0	99.17	101298.0	0.83
SRX4105497	13547027.0	5851511.0	43.19	7695516.0	56.81
SRX4105498	18060491.0	5590050.0	30.95	12470441.0	69.05
SRX4105499	12680705.0	4381081.0	34.55	8299624.0	65.45
SRX4105500	28677256.0	2229107.0	7.77	26448149.0	92.23
SRX4105501	12940664.0	4269047.0	32.99	8671617.0	67.01
SRX4105502	20576806.0	6718492.0	32.65	13858314.0	67.35
SRX4105503	20933895.0	9070090.0	43.33	11863805.0	56.67
SRX4105504	18201496.0	5721435.0	31.43	12480061.0	68.57
SRX4105505	14407729.0	4873356.0	33.82	9534373.0	66.18
SRX4105506	4480833.0	179114.0	4.0	4301719.0	96.0
SRX4105507	3904744.0	153079.0	3.92	3751665.0	96.08
SRX4105508	11263183.0	873374.0	7.75	10389809.0	92.25
SRX4105509	10780922.0	3596982.0	33.36	7183940.0	66.64
SRX4105510	16259600.0	5497994.0	33.81	10761606.0	66.19
SRX4105511	3259774.0	2689075.0	82.49	570699.0	17.51
SRX4105512	4482753.0	3790057.0	84.55	692696.0	15.45
SRX4105513	4075617.0	1834958.0	45.02	2240659.0	54.98
SRX4105514	5145687.0	3491047.0	67.84	1654640.0	32.16
SRX4105515	3472019.0	952798.0	27.44	2519221.0	72.56
SRX4105516	4798203.0	2643261.0	55.09	2154942.0	44.91
