Sample	Assigned	Unassigned: r RNA	Unassigned: Unmapped	Unassigned: Fragment Length	Unassigned: No Features	Unassigned: Overlapping Length	Unassigned: Ambiguity
SRX3211324	3363758.0	173568.0	51335.0	0.0	597812.0	166684.0	1607.0
SRX3211325	4867649.0	32933.0	63216.0	0.0	941022.0	258574.0	2607.0
SRX3211326	4643612.0	3584829.0	128736.0	0.0	694721.0	212752.0	2358.0
SRX3211327	5906454.0	45575.0	80909.0	0.0	1153970.0	339034.0	3100.0
SRX3211328	3341748.0	4077110.0	83236.0	0.0	703303.0	184944.0	1808.0
SRX3211329	4747191.0	40534.0	91351.0	0.0	1030034.0	269872.0	2528.0
SRX3211330	3917599.0	103546.0	91245.0	0.0	974412.0	226038.0	1954.0
SRX3211331	4558212.0	39856.0	105787.0	0.0	1080254.0	257316.0	2458.0
SRX3211332	5576323.0	147524.0	123036.0	0.0	1460795.0	318695.0	2650.0
SRX3211333	4686881.0	48944.0	112873.0	0.0	1300287.0	254079.0	2519.0
SRX3211334	4750192.0	189327.0	180678.0	0.0	2719933.0	292570.0	2611.0
SRX3211335	3928335.0	50452.0	122113.0	0.0	2714551.0	213818.0	2179.0
SRX3211336	4646922.0	154199.0	131459.0	0.0	1439267.0	287400.0	2642.0
SRX3211337	5094586.0	59359.0	149769.0	0.0	1562419.0	319311.0	2686.0
SRX3211338	6852126.0	372391.0	214369.0	0.0	1874401.0	391633.0	4338.0
SRX3211339	6391014.0	52250.0	180674.0	0.0	1584124.0	373417.0	3917.0
SRX3211340	6549227.0	114351.0	183090.0	0.0	1327857.0	327821.0	3288.0
SRX3211341	7265836.0	50447.0	196700.0	0.0	1661210.0	406093.0	4412.0
SRX3211342	6189276.0	195985.0	175455.0	0.0	1332816.0	334239.0	3255.0
SRX3211343	6317221.0	420698.0	191182.0	0.0	1936563.0	408174.0	3315.0
SRX3211344	3766832.0	37920.0	101848.0	0.0	1107514.0	229447.0	1873.0
SRX3211345	6120911.0	265210.0	234803.0	0.0	1938012.0	360356.0	3163.0
SRX3211346	6300951.0	69776.0	174662.0	0.0	1860221.0	367598.0	3561.0
SRX3211347	4413126.0	2488590.0	141349.0	0.0	740536.0	219560.0	2490.0
SRX3211348	6552604.0	72257.0	124684.0	0.0	1369468.0	369205.0	3182.0
SRX3211349	7169035.0	263645.0	235776.0	0.0	2379684.0	453754.0	3363.0
SRX3211350	5673415.0	89135.0	115269.0	0.0	1726472.0	316047.0	2589.0
SRX3211351	3431229.0	2175101.0	120149.0	0.0	1210574.0	184314.0	1570.0
SRX3211352	4829984.0	108306.0	159189.0	0.0	1944356.0	293454.0	2120.0
SRX3211353	5164229.0	181144.0	229783.0	0.0	2724100.0	273197.0	2592.0
SRX3211354	4438605.0	80008.0	132573.0	0.0	2465910.0	242873.0	2474.0
SRX3211355	5069152.0	240794.0	201528.0	0.0	1837742.0	252373.0	2812.0
SRX3211356	4488524.0	88805.0	144142.0	0.0	1471623.0	217052.0	2780.0
SRX3211357	5751677.0	287542.0	202391.0	0.0	1790144.0	294049.0	2947.0
SRX3211358	5806337.0	77578.0	166179.0	0.0	1611792.0	285688.0	3374.0
SRX3211359	6618297.0	294244.0	221889.0	0.0	1993601.0	365582.0	3067.0
SRX3211360	5969402.0	71655.0	153428.0	0.0	1697910.0	337444.0	3218.0
SRX3312459	7385495.0	255977.0	1344239.0	0.0	2458813.0	410760.0	4516.0
SRX3312460	7449856.0	255230.0	1118799.0	0.0	2285762.0	401812.0	4454.0
SRX3312461	8585312.0	419751.0	1427373.0	0.0	2824972.0	475363.0	4239.0
SRX3312462	7648568.0	461045.0	1344993.0	0.0	3080406.0	408078.0	3910.0
SRX3312463	7071549.0	651396.0	1484543.0	0.0	3672153.0	373407.0	3855.0
SRX3312464	9038260.0	573848.0	1667796.0	0.0	5384182.0	465238.0	5274.0
SRX3312465	5286368.0	714028.0	1462157.0	0.0	3960783.0	275782.0	3377.0
SRX3312466	3703913.0	473231.0	1186350.0	0.0	3769092.0	197551.0	2518.0
SRX3312467	4035610.0	1877838.0	1632100.0	0.0	4277964.0	222235.0	2731.0
