Sample	Assigned	Unassigned: r RNA	Unassigned: Unmapped	Unassigned: Fragment Length	Unassigned: No Features	Unassigned: Overlapping Length	Unassigned: Ambiguity
SRX3312468	5711988.0	1040657.0	2071080.0	0.0	1626841.0	304859.0	2858.0
SRX3312469	7263158.0	953623.0	1777253.0	0.0	2208706.0	393183.0	3891.0
SRX3312470	15012664.0	2457586.0	2962679.0	0.0	4577202.0	776469.0	7709.0
SRX3312471	8622382.0	1892482.0	2825760.0	0.0	3364082.0	466603.0	4296.0
SRX3312472	8445322.0	1663787.0	2473912.0	0.0	4430395.0	445389.0	5022.0
SRX3312473	5580782.0	2442174.0	2290819.0	0.0	3548527.0	291943.0	3703.0
SRX3312474	3830479.0	3435093.0	1361758.0	0.0	2750180.0	211337.0	2815.0
SRX3312475	3685579.0	3287029.0	2473357.0	0.0	3754477.0	202064.0	2406.0
SRX3312476	2381840.0	3805897.0	1973383.0	0.0	3039519.0	140972.0	1648.0
SRX3312477	3346532.0	238906.0	743211.0	0.0	1143729.0	204968.0	1899.0
SRX3312478	3600033.0	1140236.0	774744.0	0.0	1571334.0	215577.0	1926.0
SRX3312479	5050314.0	198096.0	827128.0	0.0	2222068.0	292232.0	2421.0
SRX3312480	5171352.0	154709.0	887629.0	0.0	2303653.0	264395.0	2509.0
SRX3312481	5350801.0	205274.0	1067652.0	0.0	2986559.0	293345.0	2970.0
SRX3312482	3178112.0	202618.0	1195697.0	0.0	2210182.0	166072.0	1990.0
SRX3312483	4346908.0	207582.0	777116.0	0.0	3661760.0	228600.0	2643.0
SRX3312484	4209146.0	294184.0	1077917.0	0.0	3661339.0	231600.0	2669.0
SRX3312485	4338685.0	1448878.0	1011552.0	0.0	4096556.0	247280.0	2666.0
SRX3312486	5416705.0	1031375.0	1106541.0	0.0	2230430.0	305924.0	3666.0
SRX3312487	4833877.0	699666.0	850402.0	0.0	1727828.0	256844.0	3201.0
SRX3312488	5715149.0	914948.0	1089043.0	0.0	1882106.0	304084.0	2906.0
SRX3312489	4175762.0	1017081.0	1057548.0	0.0	1443475.0	205468.0	2153.0
SRX3312490	3643220.0	1822907.0	1969491.0	0.0	1656096.0	181739.0	1975.0
SRX3312491	1458785.0	533760.0	437793.0	0.0	892219.0	76898.0	976.0
SRX3312492	9439135.0	4176940.0	2208820.0	0.0	6597872.0	476493.0	6253.0
SRX3312493	2691061.0	3454278.0	1499448.0	0.0	2689727.0	147339.0	1607.0
SRX3312494	1667625.0	1466831.0	832726.0	0.0	2085626.0	100094.0	930.0
SRX359366	1240031.0	11665721.0	217972.0	0.0	465692.0	68999.0	717.0
SRX359367	1151862.0	10285263.0	175271.0	0.0	342902.0	61459.0	581.0
SRX359368	968387.0	10386427.0	230707.0	0.0	293748.0	53927.0	578.0
SRX359369	1286472.0	12133364.0	265772.0	0.0	440570.0	74380.0	743.0
SRX359370	1153784.0	9649319.0	173581.0	0.0	411795.0	66294.0	597.0
SRX359371	1162529.0	10365410.0	221092.0	0.0	356278.0	66566.0	634.0
SRX359372	636750.0	8645113.0	65902.0	0.0	199182.0	37904.0	422.0
SRX359373	765112.0	10458110.0	90131.0	0.0	232683.0	44082.0	413.0
SRX359374	787152.0	11446643.0	115846.0	0.0	267229.0	38509.0	413.0
SRX359375	667846.0	10789029.0	107162.0	0.0	193474.0	33089.0	371.0
SRX359376	602553.0	9521304.0	84139.0	0.0	262246.0	34180.0	359.0
SRX359377	628976.0	10584979.0	82842.0	0.0	238746.0	35347.0	366.0
SRX359378	763839.0	9176959.0	77089.0	0.0	253069.0	41825.0	414.0
SRX359379	639071.0	8545778.0	74760.0	0.0	247422.0	36664.0	392.0
SRX359380	588541.0	9462749.0	90242.0	0.0	217368.0	33228.0	413.0
SRX359381	751119.0	8801987.0	73409.0	0.0	284668.0	43282.0	454.0
SRX359382	953854.0	10812133.0	104019.0	0.0	325958.0	52701.0	564.0
SRX359383	909620.0	10802561.0	101298.0	0.0	302411.0	49661.0	521.0
SRX4105497	2121504.0	2787758.0	7695516.0	0.0	820132.0	121076.0	1041.0
SRX4105498	1263463.0	3553457.0	12470441.0	0.0	696302.0	76277.0	551.0
SRX4105499	810939.0	3035856.0	8299624.0	0.0	485820.0	48160.0	306.0
SRX4105500	542830.0	714917.0	26448149.0	0.0	941188.0	29948.0	224.0
SRX4105501	914834.0	2754923.0	8671617.0	0.0	541316.0	57612.0	362.0
SRX4105502	983077.0	4925030.0	13858314.0	0.0	734079.0	75856.0	450.0
SRX4105503	3236576.0	4360246.0	11863805.0	0.0	1284100.0	187463.0	1705.0
SRX4105504	1350299.0	3586779.0	12480061.0	0.0	705939.0	77840.0	578.0
SRX4105505	892830.0	3370913.0	9534373.0	0.0	555732.0	53514.0	367.0
SRX4105506	17998.0	156863.0	4301719.0	0.0	3160.0	1066.0	27.0
SRX4105507	15319.0	134268.0	3751665.0	0.0	2567.0	900.0	25.0
SRX4105508	215991.0	275285.0	10389809.0	0.0	370109.0	11902.0	87.0
SRX4105509	769840.0	2332134.0	7183940.0	0.0	447009.0	47709.0	290.0
SRX4105510	925505.0	3965969.0	10761606.0	0.0	545197.0	60954.0	369.0
SRX4105511	1286042.0	335286.0	570699.0	0.0	984088.0	82830.0	829.0
SRX4105512	2366138.0	405538.0	692696.0	0.0	898661.0	118096.0	1624.0
SRX4105513	763867.0	736900.0	2240659.0	0.0	287086.0	46755.0	350.0
SRX4105514	1685850.0	952324.0	1654640.0	0.0	752037.0	99835.0	1001.0
SRX4105515	142220.0	737224.0	2519221.0	0.0	63992.0	9269.0	93.0
SRX4105516	1191575.0	925853.0	2154942.0	0.0	457560.0	67611.0	662.0
SRX4105517	300287.0	1095343.0	16257672.0	0.0	639697.0	18135.0	169.0
