Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
SRX3159662	2.6	21252494	6466291	21252494	1062624700	1677632	1050727676	1.1195885057066712
SRX3159663	2.6	17171120	5363330	17171120	858556000	1181115	847027861	1.3427358262012028
SRX3159664	2.6	19459621	6077008	19459621	972981050	1232795	961504007	1.1795751828876833
SRX3159665	2.6	16040799	4885286	16040799	802039950	1073076	792598775	1.1771452282395658
SRX3159666	2.6	17278594	5213264	17278594	863929700	1151931	854826073	1.0537462712533208
SRX3159667	2.6	13327653	4047112	13327653	666382650	753736	659748892	0.9954878026911415
SRX3159668	2.6	17028987	5314804	17028987	851449350	969771	840521817	1.283403763242053
SRX3172761	2.6	9648458	3160308	9648458	482422900	1782718	472179931	2.1232344069902154
SRX3172762	2.6	13333991	4345323	13333991	666699550	2572531	653089195	2.041452555352707
SRX3172763	2.6	15104219	4748235	15104219	755210950	2759409	743803301	1.5105248407746206
SRX3172764	2.6	16923984	5473175	16923984	846199200	3478644	829690460	1.950928339331921
SRX3172765	2.6	14040791	4308137	14040791	702039550	2992256	691433162	1.510796364677745
SRX3172766	2.6	13107597	4216419	13107597	655379850	2519349	644509958	1.6585636558707137
SRX3176780	2.6	16703814	5177701	16703814	835190700	713885	826651418	1.0224349959835521
SRX3176781	2.6	15219015	4747139	15219015	760950750	594405	752966456	1.049252399054735
SRX3176782	2.6	10893187	3427523	10893187	544659350	396499	539164984	1.0087710786567787
SRX3176783	2.6	17146733	5265388	17146733	857336650	697051	848481329	1.0328872561321156
SRX3176784	2.6	14669490	4467282	14669490	733474500	653877	726059406	1.010954573062867
SRX3176785	2.6	16892576	5376595	16892576	844628800	659850	836104239	1.0092671478879243
SRX3176786	2.6	12604460	3940096	12604460	630223000	659414	623799026	1.0193176066249565
SRX3176787	2.6	12288862	3993082	12288862	614443100	602794	608275544	1.0037635706219177
SRX3176788	2.6	15394420	4931642	15394420	769721000	1297937	760726807	1.1685004046920897
SRX3176789	2.6	10865195	3301318	10865195	543259750	446902	537941282	0.9789917254131195
SRX3176790	2.6	15708983	4764935	15708983	785449150	670818	777580351	1.00182156922571
SRX3176791	2.6	11620415	3670090	11620415	581020750	511030	572767434	1.4204855850673148
SRX3176792	2.6	10028620	3099325	10028620	501431000	464379	495187210	1.2451942540449235
SRX3176793	2.6	13707700	4253402	13707700	685385000	653661	677141340	1.2027780006857458
SRX3176794	2.6	17654626	5345670	17654626	882731300	1043453	873235778	1.075697893571917
SRX3176795	2.6	13894197	4233018	13894197	694709850	545693	687557772	1.029505771366276
SRX3176796	2.6	21507478	6683323	21507478	1075373900	1055618	1062275351	1.218046021016504
SRX3176797	2.6	15363622	4835124	15363622	768181100	529304	760741964	0.9684091420629849
SRX3176798	2.6	9024779	2786986	9024779	451238950	728193	445922402	1.1782112337598516
SRX3176799	2.6	8272300	2585203	8272300	413615000	656820	408566189	1.2206547151336389
SRX3176800	2.6	9228198	2838668	9228198	461409900	680137	456197026	1.1297707309704452
SRX3176801	2.6	9039329	3052403	9039329	451966450	747695	442669020	2.0571062298982588
SRX3176802	2.6	7662295	2465935	7662295	383114750	584807	376889133	1.6250006036050555
SRX3176803	2.6	7920633	2580514	7920633	396031650	565339	391616073	1.11495558498923
SRX3176804	2.6	11945294	4093013	11945294	597264700	807958	588136581	1.5283205252210619
SRX3176805	2.6	10630626	3733433	10630626	531531300	579289	524606126	1.3028722861664026
SRX3176806	2.6	7894546	2469379	7894546	394727300	464839	389197547	1.400904624534457
SRX3176807	2.6	10435731	3091512	10435731	521786550	3721588	512336896	1.8110190843363059
SRX3176808	2.6	12815102	3856014	12815102	640755100	4475887	624605334	2.5204272271886716
SRX3176809	2.6	11416675	3410085	11416675	570833750	3771243	559663949	1.9567520315678604
SRX3176810	2.6	21721649	6186077	21721649	1086082450	6823279	1069683337	1.5099326022623787
SRX3176811	2.6	14015397	4470960	14015397	700769850	4441783	669316432	4.488409140319036
SRX3176812	2.6	23072779	6815514	23072779	1153638950	7297931	1128085325	2.2150452704461823
SRX3176813	2.6	12664906	3757764	12664906	633245300	3961393	618953307	2.256944188926471
SRX3176814	2.6	12438694	3630979	12438694	621934700	3399604	612212279	1.5632543094958362
SRX3176815	2.6	13774421	4097732	13774421	688721050	2774086	677221850	1.6696454972590136
SRX3211301	2.6	7891202	2364223	7891202	394560100	153092	391024605	0.8960599411851325
SRX3211302	2.6	8382685	2634350	8382685	419134250	187452	414699882	1.0579827346488624
SRX3211303	2.6	7991539	2481387	7991539	399576950	149907	395873840	0.9267576620723493
SRX3211304	2.6	8905157	2597794	8905157	445257850	170488	441087930	0.9365180198395155
SRX3211305	2.6	10596450	3064511	10596450	529822500	249098	522696597	1.3449604348626192
SRX3211306	2.6	7706914	2381952	7706914	385345700	154729	381355584	1.0354640002470508
SRX3211307	2.6	10511432	3189717	10511432	525571600	189175	520750224	0.9173585482929443
SRX3211308	2.6	9069077	2850265	9069077	453453850	187891	448609578	1.068305407485238
SRX3211309	2.6	9122823	2826210	9122823	456141150	186530	451592946	0.9971045146880522
SRX3211310	2.6	7489968	2350765	7489968	374498400	202845	369979013	1.206784061026696
SRX3211311	2.6	9903726	3060238	9903726	495186300	205729	490613347	0.9234813240996368
SRX3211312	2.6	7615297	2376387	7615297	380764850	191150	375913782	1.274032516394305
SRX3211313	2.6	9427609	2896088	9427609	471380450	191941	467036744	0.9214862432245545
SRX3211314	2.6	9463052	2988382	9463052	473152600	221641	467134577	1.2718989602931485
SRX3211315	2.6	11501570	3503457	11501570	575078500	290630	569547816	0.9617267903425357
SRX3211316	2.6	10916343	3515061	10916343	545817150	243406	536466515	1.7131442278792448
SRX3211317	2.6	12836949	3944245	12836949	641847450	239593	635919349	0.9235996808899062
SRX3211318	2.6	10003585	3155439	10003585	500179250	205112	493810069	1.2733796933799233
SRX3211319	2.6	13218632	3942358	13218632	660931600	261751	654657431	0.949291727010783
SRX3211320	2.6	9171499	2837333	9171499	458574950	225984	451305465	1.5852337769431148
SRX3211321	2.6	7474725	2223867	7474725	373736250	102414	370381492	0.8976271367842964
SRX3211322	2.6	10992595	3330917	10992595	549629750	166653	543755108	1.068836248401765
SRX3211323	2.6	5847952	1754869	5847952	292397600	77532	289803546	0.8871666525306637
SRX3211324	2.6	4358556	1338331	4358556	217927800	96376	215637754	1.0508278429828595
SRX3211325	2.6	6172768	1872139	6172768	308638400	85985	305603247	0.9834009637167638
SRX3211326	2.6	9272494	2721762	9272494	463624700	97831	458424436	1.1216537859177909
SRX3211327	2.6	7530727	2297206	7530727	376536350	117698	373142465	0.9013432567665778
SRX3211328	2.6	8395617	2345380	8395617	419780850	92764	415995557	0.9017307483178425
SRX3211329	2.6	6183163	1892019	6183163	309158150	89921	306356811	0.906118438087432
SRX3211330	2.6	5321335	1678684	5321335	266066750	55959	263204292	1.0758420584308261
SRX3211331	2.6	6046650	1863263	6046650	302332500	90700	299509687	0.93367831774619
SRX3211332	2.6	7658916	2408672	7658916	382945800	96851	377780872	1.3487360352300508
SRX3211333	2.6	6408183	1971829	6408183	320409150	125454	317423476	0.9318316908240605
SRX3211334	2.6	8144866	2654652	8144866	407243300	92038	402342087	1.2035097937768406
