Sample	Unique Reads	Duplicate Reads
SRX4105568	1159272.0	13853801.0
SRX5055969	3170605.0	8104500.0
SRX5055970	3583615.0	7317975.0
SRX5055971	4353514.0	6559009.0
SRX5055972	5355665.0	4373021.0
SRX689242	186406.0	946301.0
SRX7119038	5285810.0	5989295.0
SRX7119039	4745166.0	6156424.0
SRX7119040	2738581.0	6648193.0
SRX7119041	5846774.0	5279847.0
SRX8650808	6113028.0	37236044.0
UV_control_1	3798986.0	8952875.0
UV_control_2	2064645.0	7006655.0
UV_control_3	1688071.0	9980038.0
UV_exposure_2	2638169.0	9950223.0
UV_exposure_3	1912700.0	9416996.0
dark_4h_0110_KO_1	3342433.0	9997659.0
dark_4h_0110_KO_2	2985665.0	8113879.0
dark_4h_0616_KO_1	3287186.0	7167091.0
dark_4h_0616_KO_2	3474382.0	8976925.0
dark_4h_1684_KO_1	2507113.0	7666157.0
dark_4h_1684_KO_2	2447244.0	5185803.0
km_LL_1	2667837.0	9076495.0
km_LL_2	3152073.0	9771385.0
km_dark_4h_1	2633509.0	7251790.0
km_dark_4h_2	3117427.0	9775164.0
light_0110_KO_1	2704798.0	9590995.0
light_0110_KO_2	3044339.0	10641748.0
light_0616_KO_1	3281787.0	6280935.0
light_0616_KO_2	3846140.0	9073824.0
light_1684_KO_1	3275482.0	10919201.0
light_1684_KO_2	2042643.0	8444359.0
post_uv_2hrs_1	1441361.0	8735723.0
post_uv_2hrs_2	3117003.0	5663354.0
post_uv_2hrs_3	3214879.0	6620929.0
post_uv_control_1	1791119.0	7701193.0
post_uv_control_2	3613202.0	7536743.0
wt_LL_1	2231888.0	6768485.0
wt_LL_2	2579061.0	7790591.0
wt_dark_4h_1	2806159.0	9114892.0
wt_dark_4h_2	2854833.0	7727472.0
